jornada;partido;equipo_local;equipo_visitante;fecha
1;Partido1;Nacional;Medellin;30/10/2025
1;Partido2;Millonarios;Santafe;30/10/2025
1;Partido3;Cali;Tolima;30/10/2025
1;Partido4;América;Bucaramanga;30/10/2025
1;Partido5;Cucuta;Junior;30/10/2025
